part,sensor,metric,stat,long_mean,short_mean,difference,t_stat,p_value,n_pairs,removed_short,removed_long,coef,z_value,n_titles,n_observations,n_long,n_short
Part 2,FAC,NeutralAdaptiveValence,AUC,181.1952108433735,181.68264024390245,-0.4874294005289528,,0.4885101343107081,,0,0,-2.1887623246676133,-0.6926804121223686,3.0,165.0,83.0,82.0
Part 1,FAC,NeutralAdaptiveValence,Mean,0.97380510675,0.99483311885,-0.02102801210000005,-2.7696319176938773,0.00749067303139956,60.0,14,11,,,,,,
Part 2,FAC,NeutralAdaptiveValence,Mean,0.9692428156944446,0.993062036897059,-0.02381922120261437,,0.0002973145541946096,,14,11,-0.02420406483760763,-3.6176286534772246,3.0,140.0,72.0,68.0
Part 1,FAC,PositiveAdaptiveValence,AUC,2.9990483870967743,0.886516129032258,2.1125322580645163,2.6238980013129707,0.010967967677618632,62.0,13,11,,,,,,
Part 2,FAC,PositiveAdaptiveValence,AUC,3.3346597222222223,1.1451014492753624,2.1895582729468597,,0.007524851307570031,,13,11,2.1427103413224717,2.6726776793763336,3.0,141.0,72.0,69.0
Part 1,FAC,PositiveAdaptiveValence,Mean,0.013492848896551725,0.004550022155172415,0.00894282674137931,1.8645526414051057,0.06739585059229916,58.0,13,14,,,,,,
Part 2,FAC,PositiveAdaptiveValence,Mean,0.01753973753623189,0.005928642159420289,0.0116110953768116,,0.007990378044601872,,13,14,0.012189924227172137,2.652476117226879,3.0,138.0,69.0,69.0
Part 1,FAC,Sadness,AUC,0.23422131147540984,0.17858196721311476,0.05563934426229508,0.6693250582358583,0.5058556423604026,61.0,14,15,,,,,,
Part 2,FAC,Sadness,AUC,0.25179411764705883,0.18741176470588236,0.06438235294117647,,0.48863230208298936,,14,15,0.06259243654088432,0.6924857973040167,3.0,136.0,68.0,68.0
Part 1,FAC,Sadness,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Sadness,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Sadness,Mean,0.0012431103333333331,0.0007860574833333333,0.00045705284999999986,1.0321075983308536,0.30623405411077553,60.0,15,16,,,,,,
Part 2,FAC,Sadness,Mean,0.0014277216268656716,0.0008228984328358209,0.0006048231940298508,,0.2152414988488245,,15,16,0.0006048236196471218,1.239280874861927,3.0,134.0,67.0,67.0
Part 1,FAC,Sentimentality,AUC,0.5293615384615384,0.2051923076923077,0.32416923076923077,2.948288083475866,0.004456196280496821,65.0,10,12,,,,,,
Part 2,FAC,Sentimentality,AUC,0.5129859154929577,0.22272916666666667,0.29025674882629104,,0.006419214292647158,,10,12,0.30386626108350395,2.7255618778301787,3.0,143.0,71.0,72.0
Part 1,FAC,Sentimentality,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Sentimentality,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Sentimentality,Mean,0.0024794251475409837,0.0008388213770491804,0.0016406037704918032,2.3024161218244767,0.024796793109850262,61.0,12,14,,,,,,
Part 2,FAC,Sentimentality,Mean,0.002789416217391304,0.0009672183428571429,0.001822197874534161,,0.0048442964726326905,,12,14,0.0019121427932372115,2.8172091739099363,3.0,139.0,69.0,70.0
Part 1,FAC,Surprise,AUC,0.05519827586206897,0.005094827586206896,0.05010344827586207,2.1944035601037566,0.03229665031351562,58.0,19,14,,,,,,
Part 2,FAC,Surprise,AUC,0.09476086956521738,0.00469047619047619,0.0900703933747412,,0.001757784368527026,,19,14,0.09155291193181818,3.128370524000301,3.0,132.0,69.0,63.0
Part 1,FAC,Surprise,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Surprise,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Surprise,Mean,0.00020941292727272726,9.216781818181817e-06,0.00020019614545454544,1.8751107215787721,0.0661892208872914,55.0,20,17,,,,,,
Part 2,FAC,Surprise,Mean,0.0003393338787878788,8.176177419354838e-06,0.00033115770136852397,,0.004238048388681131,,20,17,0.0003378657278868483,2.8598773812523572,3.0,128.0,66.0,62.0
Part 1,FAC_EMOTION,EmotionComposite,AUC_SUM,12.8792578125,6.078460937499999,6.800796875000001,3.143064599551733,0.0025488892718602105,64.0,12,10,,,,,,
Part 2,FAC_EMOTION,EmotionComposite,AUC_SUM,14.868424657534247,6.4035857142857155,8.46483894324853,,0.0011874168772914892,,12,10,8.258249371957449,3.2418855747714583,3.0,143.0,73.0,70.0
Part 1,GSR,PeakDetected,Binary,0.7407407407407407,0.7160493827160493,0.024691358024691357,0.5321520841901914,0.5960955163008068,81.0,0,0,,,,,,
Part 2,GSR,PeakDetected,Binary,0.7439024390243902,0.7160493827160493,0.027853056308340896,,0.7187395777959338,,0,0,0.02468676458277117,0.360143829235481,3.0,163.0,82.0,81.0
Part 1,GSR,Peaks,Count,2224.5098039215686,1812.1764705882354,412.33333333333326,1.5421660932211947,0.12933910074836927,51.0,1,0,,,,,,
Part 2,GSR,Peaks,Count,2285.2950819672133,1657.9473684210527,627.3477135461605,,0.02008270753430796,,1,0,582.0013001120485,2.324799055660067,3.0,118.0,61.0,57.0
Part 1,GSR,Peaks,PerMinute,694.0013854178845,587.8641621475,106.13722327038454,2.060410929911195,0.044478116067871325,52.0,0,0,,,,,,
Part 2,GSR,Peaks,PerMinute,678.7754775580329,536.9005892048276,141.87488835320528,,0.03699307873807331,,0,0,146.1318939391859,2.085840441586774,3.0,119.0,61.0,58.0
