respondent_id,form,title,sensor,metric,stat,value
002_105.csv,Short,The Town,FAC,Contempt,Mean,0.026585644
001_114.csv,Short,The Town,FAC,Contempt,Mean,0.002154626
007_13.csv,Short,The Town,FAC,Contempt,Mean,0.001519564
006_16.csv,Short,The Town,FAC,Contempt,Mean,0.103697139
006_43.csv,Short,The Town,FAC,Contempt,Mean,0.0
005_59.csv,Short,The Town,FAC,Contempt,Mean,0.111167448
008_6.csv,Short,The Town,FAC,Contempt,Mean,0.007605527
004_62.csv,Short,The Town,FAC,Contempt,Mean,0.046461577
004_63.csv,Short,The Town,FAC,Contempt,Mean,0.001647446
002_82.csv,Short,The Town,FAC,Contempt,Mean,0.0
001_88.csv,Short,The Town,FAC,Contempt,Mean,0.0
007_89.csv,Short,The Town,FAC,Contempt,Mean,0.004815613
005_93.csv,Short,The Town,FAC,Contempt,Mean,0.00075959
005_10.csv,Short,The Town,FAC,Contempt,AUC,0.2365
004_15.csv,Short,The Town,FAC,Contempt,AUC,1.034
003_37.csv,Short,The Town,FAC,Contempt,AUC,0.3035
002_39.csv,Short,The Town,FAC,Contempt,AUC,0.0
004_56.csv,Short,The Town,FAC,Contempt,AUC,2.272
001_58.csv,Short,The Town,FAC,Contempt,AUC,0.0
003_64.csv,Short,The Town,FAC,Contempt,AUC,0.4595
002_73.csv,Short,The Town,FAC,Contempt,AUC,0.4705
001_77.csv,Short,The Town,FAC,Contempt,AUC,0.0
005_90.csv,Short,The Town,FAC,Contempt,AUC,0.7675
008_1.csv,Short,The Town,FAC,Contempt,AUC,0.0
003_101.csv,Short,The Town,FAC,Contempt,AUC,0.0
003_103.csv,Short,The Town,FAC,Contempt,AUC,9.286
002_105.csv,Short,The Town,FAC,Contempt,AUC,6.972
001_114.csv,Short,The Town,FAC,Contempt,AUC,0.577
007_13.csv,Short,The Town,FAC,Contempt,AUC,0.387
006_16.csv,Short,The Town,FAC,Contempt,AUC,27.2715
006_43.csv,Short,The Town,FAC,Contempt,AUC,0.0
005_59.csv,Short,The Town,FAC,Contempt,AUC,29.237
008_6.csv,Short,The Town,FAC,Contempt,AUC,2.0035
004_62.csv,Short,The Town,FAC,Contempt,AUC,12.198
004_63.csv,Short,The Town,FAC,Contempt,AUC,0.41
002_82.csv,Short,The Town,FAC,Contempt,AUC,0.0
001_88.csv,Short,The Town,FAC,Contempt,AUC,0.0
007_89.csv,Short,The Town,FAC,Contempt,AUC,1.2665
005_93.csv,Short,The Town,FAC,Contempt,AUC,0.221
005_10.csv,Short,The Town,FAC,Contempt,Binary,0.0
004_15.csv,Short,The Town,FAC,Contempt,Binary,0.0
003_37.csv,Short,The Town,FAC,Contempt,Binary,0.0
002_39.csv,Short,The Town,FAC,Contempt,Binary,0.0
004_56.csv,Short,The Town,FAC,Contempt,Binary,0.0
001_58.csv,Short,The Town,FAC,Contempt,Binary,0.0
003_64.csv,Short,The Town,FAC,Contempt,Binary,0.0
002_73.csv,Short,The Town,FAC,Contempt,Binary,0.0
001_77.csv,Short,The Town,FAC,Contempt,Binary,0.0
005_90.csv,Short,The Town,FAC,Contempt,Binary,0.0
008_1.csv,Short,The Town,FAC,Contempt,Binary,0.0
003_101.csv,Short,The Town,FAC,Contempt,Binary,0.0
003_103.csv,Short,The Town,FAC,Contempt,Binary,0.0
002_105.csv,Short,The Town,FAC,Contempt,Binary,0.0
001_114.csv,Short,The Town,FAC,Contempt,Binary,0.0
007_13.csv,Short,The Town,FAC,Contempt,Binary,0.0
006_16.csv,Short,The Town,FAC,Contempt,Binary,0.0
006_43.csv,Short,The Town,FAC,Contempt,Binary,0.0
005_59.csv,Short,The Town,FAC,Contempt,Binary,0.0
008_6.csv,Short,The Town,FAC,Contempt,Binary,0.0
004_62.csv,Short,The Town,FAC,Contempt,Binary,0.0
004_63.csv,Short,The Town,FAC,Contempt,Binary,0.0
002_82.csv,Short,The Town,FAC,Contempt,Binary,0.0
001_88.csv,Short,The Town,FAC,Contempt,Binary,0.0
007_89.csv,Short,The Town,FAC,Contempt,Binary,0.0
005_93.csv,Short,The Town,FAC,Contempt,Binary,0.0
005_10.csv,Short,The Town,FAC,Disgust,Mean,0.000633633
004_15.csv,Short,The Town,FAC,Disgust,Mean,0.00025355
003_37.csv,Short,The Town,FAC,Disgust,Mean,0.0
002_39.csv,Short,The Town,FAC,Disgust,Mean,0.0
004_56.csv,Short,The Town,FAC,Disgust,Mean,0.004431502
001_58.csv,Short,The Town,FAC,Disgust,Mean,0.0
003_64.csv,Short,The Town,FAC,Disgust,Mean,0.0
002_73.csv,Short,The Town,FAC,Disgust,Mean,0.0
001_77.csv,Short,The Town,FAC,Disgust,Mean,0.0
005_90.csv,Short,The Town,FAC,Disgust,Mean,0.0
008_1.csv,Short,The Town,FAC,Disgust,Mean,0.0
003_101.csv,Short,The Town,FAC,Disgust,Mean,0.0
003_103.csv,Short,The Town,FAC,Disgust,Mean,0.0
002_105.csv,Short,The Town,FAC,Disgust,Mean,0.0
001_114.csv,Short,The Town,FAC,Disgust,Mean,0.000887199
007_13.csv,Short,The Town,FAC,Disgust,Mean,0.000379891
006_16.csv,Short,The Town,FAC,Disgust,Mean,0.0
006_43.csv,Short,The Town,FAC,Disgust,Mean,0.0
005_59.csv,Short,The Town,FAC,Disgust,Mean,0.0
008_6.csv,Short,The Town,FAC,Disgust,Mean,0.000126759
004_62.csv,Short,The Town,FAC,Disgust,Mean,0.0
004_63.csv,Short,The Town,FAC,Disgust,Mean,0.0
002_82.csv,Short,The Town,FAC,Disgust,Mean,0.0
001_88.csv,Short,The Town,FAC,Disgust,Mean,0.0
007_89.csv,Short,The Town,FAC,Disgust,Mean,0.0
005_93.csv,Short,The Town,FAC,Disgust,Mean,0.0
005_10.csv,Short,The Town,FAC,Disgust,AUC,0.1775
004_15.csv,Short,The Town,FAC,Disgust,AUC,0.066
003_37.csv,Short,The Town,FAC,Disgust,AUC,0.0
002_39.csv,Short,The Town,FAC,Disgust,AUC,0.0
004_56.csv,Short,The Town,FAC,Disgust,AUC,1.1725
001_58.csv,Short,The Town,FAC,Disgust,AUC,0.0
003_64.csv,Short,The Town,FAC,Disgust,AUC,0.0
002_73.csv,Short,The Town,FAC,Disgust,AUC,0.0
001_77.csv,Short,The Town,FAC,Disgust,AUC,0.0
005_90.csv,Short,The Town,FAC,Disgust,AUC,0.0
008_1.csv,Short,The Town,FAC,Disgust,AUC,0.0
003_101.csv,Short,The Town,FAC,Disgust,AUC,0.0
003_103.csv,Short,The Town,FAC,Disgust,AUC,0.0
002_105.csv,Short,The Town,FAC,Disgust,AUC,0.0
001_114.csv,Short,The Town,FAC,Disgust,AUC,0.222
007_13.csv,Short,The Town,FAC,Disgust,AUC,0.097
006_16.csv,Short,The Town,FAC,Disgust,AUC,0.0
006_43.csv,Short,The Town,FAC,Disgust,AUC,0.0
005_59.csv,Short,The Town,FAC,Disgust,AUC,0.0
008_6.csv,Short,The Town,FAC,Disgust,AUC,0.033
004_62.csv,Short,The Town,FAC,Disgust,AUC,0.0
004_63.csv,Short,The Town,FAC,Disgust,AUC,0.0
002_82.csv,Short,The Town,FAC,Disgust,AUC,0.0
001_88.csv,Short,The Town,FAC,Disgust,AUC,0.0
007_89.csv,Short,The Town,FAC,Disgust,AUC,0.0
005_93.csv,Short,The Town,FAC,Disgust,AUC,0.0
005_10.csv,Short,The Town,FAC,Disgust,Binary,0.0
004_15.csv,Short,The Town,FAC,Disgust,Binary,0.0
003_37.csv,Short,The Town,FAC,Disgust,Binary,0.0
002_39.csv,Short,The Town,FAC,Disgust,Binary,0.0
004_56.csv,Short,The Town,FAC,Disgust,Binary,0.0
001_58.csv,Short,The Town,FAC,Disgust,Binary,0.0
003_64.csv,Short,The Town,FAC,Disgust,Binary,0.0
002_73.csv,Short,The Town,FAC,Disgust,Binary,0.0
001_77.csv,Short,The Town,FAC,Disgust,Binary,0.0
005_90.csv,Short,The Town,FAC,Disgust,Binary,0.0
008_1.csv,Short,The Town,FAC,Disgust,Binary,0.0
003_101.csv,Short,The Town,FAC,Disgust,Binary,0.0
003_103.csv,Short,The Town,FAC,Disgust,Binary,0.0
002_105.csv,Short,The Town,FAC,Disgust,Binary,0.0
001_114.csv,Short,The Town,FAC,Disgust,Binary,0.0
007_13.csv,Short,The Town,FAC,Disgust,Binary,0.0
006_16.csv,Short,The Town,FAC,Disgust,Binary,0.0
006_43.csv,Short,The Town,FAC,Disgust,Binary,0.0
005_59.csv,Short,The Town,FAC,Disgust,Binary,0.0
008_6.csv,Short,The Town,FAC,Disgust,Binary,0.0
004_62.csv,Short,The Town,FAC,Disgust,Binary,0.0
004_63.csv,Short,The Town,FAC,Disgust,Binary,0.0
002_82.csv,Short,The Town,FAC,Disgust,Binary,0.0
001_88.csv,Short,The Town,FAC,Disgust,Binary,0.0
