title,form,metric,windows,mean_pair_count,min_pair_count,max_pair_count,mean_corr,corr_std_mean,respondents_max
Iron Man,Short,EEG_PSD_ElectrodeClusterAverageThetadB,265,22.33649289099526,1,55,0.029840525716853743,0.48281955479869704,11
Mad Max,Short,EEG_PSD_ElectrodeClusterAverageAlphadB,515,20.38243243243243,1,66,0.011561296616597012,0.4786554011500909,12
Mad Max,Short,EEG_PSD_ElectrodeClusterAverageBetadB,515,20.38243243243243,1,66,0.019401633585356664,0.47011961758582393,12
Mad Max,Short,EEG_PSD_ElectrodeClusterAverageDeltadB,515,20.38243243243243,1,66,0.042311627662595275,0.48459444914201166,12
Mad Max,Short,EEG_PSD_ElectrodeClusterAverageGammadB,515,20.38243243243243,1,66,-0.0018166293050640148,0.4816223869740204,12
Mad Max,Short,EEG_PSD_ElectrodeClusterAverageThetadB,515,20.38243243243243,1,66,0.008678221905367017,0.47493217112681185,12
Schittss Creek,Short,EEG_PSD_ElectrodeClusterAverageAlphadB,208,29.14516129032258,1,55,-0.00447040771469775,0.47811244061692615,12
Schittss Creek,Short,EEG_PSD_ElectrodeClusterAverageBetadB,208,29.14516129032258,1,55,-0.00973915125335175,0.4799088342218456,12
Schittss Creek,Short,EEG_PSD_ElectrodeClusterAverageDeltadB,208,29.14516129032258,1,55,0.04866504403520203,0.47851740010992233,12
Schittss Creek,Short,EEG_PSD_ElectrodeClusterAverageGammadB,208,29.14516129032258,1,55,-0.009266059529983373,0.4836749791192614,12
Schittss Creek,Short,EEG_PSD_ElectrodeClusterAverageThetadB,208,29.14516129032258,1,55,0.03176837905931563,0.46415663028693505,12
The Big Bang Theory,Short,EEG_PSD_ElectrodeClusterAverageAlphadB,514,27.540507859733978,1,66,0.007775592852795132,0.44231308117219886,12
The Big Bang Theory,Short,EEG_PSD_ElectrodeClusterAverageBetadB,514,27.540507859733978,1,66,0.007885906468441346,0.43751555780003654,12
The Big Bang Theory,Short,EEG_PSD_ElectrodeClusterAverageDeltadB,514,27.540507859733978,1,66,0.00884673898650687,0.443025059457166,12
The Big Bang Theory,Short,EEG_PSD_ElectrodeClusterAverageGammadB,514,27.540507859733978,1,66,-0.012096814319679544,0.4406700248203636,12
The Big Bang Theory,Short,EEG_PSD_ElectrodeClusterAverageThetadB,514,27.540507859733978,1,66,0.02177044172785386,0.43242694587319025,12
The Conjuring,Short,EEG_PSD_ElectrodeClusterAverageAlphadB,404,18.541666666666668,1,56,-0.00032049978029893644,0.4608650396924563,12
The Conjuring,Short,EEG_PSD_ElectrodeClusterAverageBetadB,404,18.541666666666668,1,56,-0.005559678521233117,0.4613374337841321,12
The Conjuring,Short,EEG_PSD_ElectrodeClusterAverageDeltadB,404,18.541666666666668,1,56,0.004791913515526158,0.47126380857330624,12
The Conjuring,Short,EEG_PSD_ElectrodeClusterAverageGammadB,404,18.541666666666668,1,56,-0.007903768836184629,0.4612693082399788,12
The Conjuring,Short,EEG_PSD_ElectrodeClusterAverageThetadB,404,18.541666666666668,1,56,0.008555579694531308,0.4589015466937747,12
The Middle,Short,EEG_PSD_ElectrodeClusterAverageAlphadB,265,33.914081145584724,1,66,0.03482855398013434,0.433572831534798,12
The Middle,Short,EEG_PSD_ElectrodeClusterAverageBetadB,265,33.914081145584724,1,66,0.033429129574572225,0.42711572823012367,12
The Middle,Short,EEG_PSD_ElectrodeClusterAverageDeltadB,265,33.914081145584724,1,66,0.004414125583434505,0.4408253443588876,12
The Middle,Short,EEG_PSD_ElectrodeClusterAverageGammadB,265,33.914081145584724,1,66,-0.003774931852984448,0.43565584544162383,12
The Middle,Short,EEG_PSD_ElectrodeClusterAverageThetadB,265,33.914081145584724,1,66,0.05134829720054853,0.42213498586121234,12
The Notebook,Short,EEG_PSD_ElectrodeClusterAverageAlphadB,160,19.084821428571427,1,45,0.006106361934419246,0.46024303348180684,10
The Notebook,Short,EEG_PSD_ElectrodeClusterAverageBetadB,160,19.084821428571427,1,45,0.010348440145520972,0.4658892512962716,10
The Notebook,Short,EEG_PSD_ElectrodeClusterAverageDeltadB,160,19.084821428571427,1,45,0.021585236840407248,0.47158001652103515,10
The Notebook,Short,EEG_PSD_ElectrodeClusterAverageGammadB,160,19.084821428571427,1,45,0.0026667287189034777,0.46795992718466917,10
The Notebook,Short,EEG_PSD_ElectrodeClusterAverageThetadB,160,19.084821428571427,1,45,0.045272555793972824,0.4552245277034644,10
